10/7/2013,"$1,706,635.94"
10/8/2013,"$1,579,027.20"
10/9/2013,"$1,502,358.15"
10/10/2013,"$1,520,868.59"
10/11/2013,"$1,401,793.75"
10/12/2013,"$949,345.35"
10/13/2013,"$1,045,837.98"
10/14/2013,"$1,459,935.64"
10/15/2013,"$1,406,873.58"
10/16/2013,"$1,353,040.23"
10/17/2013,"$1,453,826.76"
10/18/2013,"$1,427,094.80"
10/19/2013,"$926,938.43"
10/20/2013,"$1,069,885.61"
10/21/2013,"$1,537,635.68"
10/22/2013,"$1,776,029.83"
10/23/2013,"$1,539,097.80"
10/24/2013,"$1,379,292.89"
10/25/2013,"$1,406,844.58"
10/26/2013,"$886,536.19"
10/27/2013,"$938,761.78"
10/28/2013,"$1,490,935.11"
10/29/2013,"$1,487,780.91"
10/30/2013,"$1,496,876.90"
10/31/2013,"$1,316,827.65"
11/1/2013,"$1,176,383.23"
11/2/2013,"$855,727.36"
11/3/2013,"$1,034,103.29"
11/4/2013,"$1,372,147.12"
11/5/2013,"$1,405,683.24"
11/6/2013,"$1,348,509.85"
11/7/2013,"$1,692,044.96"
11/8/2013,"$1,434,308.05"
11/9/2013,"$959,115.10"
11/10/2013,"$934,966.02"
11/11/2013,"$1,530,853.18"
11/12/2013,"$2,533,773.85"
11/13/2013,"$2,580,149.50"
11/14/2013,"$2,324,798.56"
11/15/2013,"$1,928,074.54"
11/16/2013,"$1,295,305.76"
11/17/2013,"$1,367,415.44"
11/18/2013,"$1,728,331.03"
11/19/2013,"$2,302,012.97"
11/20/2013,"$1,911,576.21"
11/21/2013,"$2,320,086.26"
11/22/2013,"$10,533,310.09"
11/23/2013,"$1,260,223.57"
11/24/2013,"$1,292,996.07"
11/25/2013,"$1,987,816.08"
11/26/2013,"$2,294,426.77"
11/27/2013,"$2,777,026.44"
11/28/2013,"$12,732,182.67"
11/29/2013,"$12,995,478.80"
11/30/2013,"$6,577,938.79"
12/1/2013,"$2,796,430.85"
12/2/2013,"$12,891,496.87"
12/3/2013,"$2,545,206.04"
12/4/2013,"$1,828,046.77"
12/5/2013,"$1,667,304.51"
12/6/2013,"$1,881,351.41"
12/7/2013,"$1,227,613.20"
12/8/2013,"$1,303,403.15"
12/9/2013,"$2,519,949.40"
12/10/2013,"$2,364,395.17"
12/11/2013,"$2,190,017.90"
12/12/2013,"$2,145,980.11"
12/13/2013,"$1,888,646.55"
12/14/2013,"$2,105,265.22"
12/15/2013,"$1,827,186.07"
12/16/2013,"$2,420,999.38"
12/17/2013,"$2,785,118.07"
12/18/2013,"$2,721,572.97"
12/19/2013,"$1,706,815.74"
12/20/2013,"$2,150,192.34"
12/21/2013,"$1,320,335.96"
12/22/2013,"$1,162,586.78"
12/23/2013,"$2,172,042.97"
12/24/2013,"$1,463,946.08"
12/25/2013,"$1,586,344.32"
12/26/2013,"$2,547,190.37"
12/27/2013,"$1,674,229.38"
12/28/2013,"$1,688,297.92"
12/29/2013,"$1,326,432.82"
12/30/2013,"$1,811,409.08"
12/31/2013,"$1,580,512.02"
1/1/2014,"$1,401,100.08"
1/2/2014,"$1,757,009.03"
1/3/2014,"$1,785,443.16"
1/4/2014,"$1,200,645.86"
1/5/2014,"$1,315,030.71"
1/6/2014,"$1,799,030.00"
1/7/2014,"$1,629,689.16"
1/8/2014,"$1,798,883.43"
1/9/2014,"$1,949,873.05"
1/10/2014,"$1,447,681.49"
1/11/2014,"$1,157,657.56"
1/12/2014,"$1,279,029.20"
1/13/2014,"$1,674,844.57"
1/14/2014,"$1,733,637.34"
1/15/2014,"$1,891,121.42"
1/16/2014,"$1,702,400.13"
1/17/2014,"$1,848,773.83"
1/18/2014,"$1,300,796.16"
1/19/2014,"$1,222,884.49"
1/20/2014,"$1,805,502.61"
1/21/2014,"$2,415,012.70"
1/22/2014,"$2,519,690.09"
1/23/2014,"$1,725,635.42"
1/24/2014,"$1,608,468.97"
1/25/2014,"$1,342,219.05"
1/26/2014,"$1,468,968.00"
1/27/2014,"$1,971,775.27"
